;Time Interval;Average Packet Size;Average Packet Intervals;Inbound Packets;Outbound Packets;Total Packets;Persona
0;(0, 0.5);956.1142857142858;0.004413123809523808;47;58;105;1
1;(0.5, 1.0);933.6449275362319;0.003510427536231883;77;61;138;1
2;(1.0, 1.5);919.2272727272727;0.003204649350649352;95;59;154;1
3;(1.5, 2.0);955.7131147540983;0.004065868852459018;64;58;122;1
4;(2.0, 2.5);929.561403508772;0.004377578947368422;61;53;114;1
5;(2.5, 3.0);911.824074074074;0.004087324074074073;60;48;108;1
6;(3.0, 3.5);884.9237288135594;0.00424514406779661;68;50;118;1
7;(3.5, 4.0);893.8672566371681;0.004432893805309732;65;48;113;1
8;(4.0, 4.5);935.747572815534;0.004850757281553396;58;45;103;1
9;(4.5, 5.0);895.2521739130435;0.004255304347826086;67;48;115;1
10;(5.0, 5.5);950.9142857142857;0.004737038095238094;59;46;105;1
11;(5.5, 6.0);944.6422018348624;0.004414394495412844;64;45;109;1
12;(6.0, 6.5);959.3960396039604;0.004889445544554458;54;47;101;1
13;(6.5, 7.0);878.1129032258065;0.0038007822580645146;74;50;124;1
14;(7.0, 7.5);931.8018018018018;0.004518837837837838;63;48;111;1
15;(7.5, 8.0);948.6630434782609;0.004912141304347826;54;38;92;1
16;(8.0, 8.5);888.2636363636364;0.004775499999999997;66;44;110;1
17;(8.5, 9.0);866.6355140186915;0.004490018691588784;67;40;107;1
18;(9.0, 9.5);943.8762886597938;0.005189742268041235;55;42;97;1
19;(9.5, 10.0);928.6574074074074;0.004484259259259258;63;45;108;1
20;(10.0, 10.5);886.288;0.003873976;67;58;125;1
21;(10.5, 11.0);884.438596491228;0.004305815789473683;59;55;114;1
22;(11.0, 11.5);908.9661016949152;0.004106466101694913;66;52;118;1
23;(11.5, 12.0);911.4727272727273;0.004342672727272726;58;52;110;1
24;(12.0, 12.5);899.4035087719299;0.004308149122807018;62;52;114;1
25;(12.5, 13.0);868.9921875;0.0038509921874999996;66;62;128;1
26;(13.0, 13.5);938.109243697479;0.0040946302521008395;58;61;119;1
27;(13.5, 14.0);913.1523178807947;0.0033376754966887396;68;83;151;1
28;(14.0, 14.5);862.3164556962025;0.003031139240506329;73;85;158;1
29;(14.5, 15.0);912.2620689655172;0.0033578827586206866;62;83;145;1
30;(15.0, 15.5);881.3478260869565;0.003524217391304347;52;86;138;1
31;(15.5, 16.0);917.3525641025641;0.0031799102564102543;77;79;156;1
32;(16.0, 16.5);917.9791666666666;0.0034217916666666663;61;83;144;1
33;(16.5, 17.0);891.5244755244755;0.00351360839160839;59;84;143;1
34;(17.0, 17.5);888.3576158940398;0.0032033178807946996;63;88;151;1
35;(17.5, 18.0);883.0945945945946;0.0033033648648648642;65;83;148;1
36;(18.0, 18.5);870.6486486486486;0.0032262364864864847;64;84;148;1
37;(18.5, 19.0);895.4615384615385;0.003221621794871794;72;84;156;1
38;(19.0, 19.5);890.3093525179856;0.0035887769784172653;52;87;139;1
39;(19.5, 20.0);891.3263888888889;0.003446027777777776;59;85;144;1
40;(20.0, 20.5);902.2573529411765;0.0036695220588235282;53;83;136;1
41;(20.5, 21.0);833.9150326797386;0.0032166862745098036;60;93;153;1
42;(21.0, 21.5);875.0895522388059;0.003582104477611938;48;86;134;1
43;(21.5, 22.0);825.2428571428571;0.003320392857142855;62;78;140;1
44;(22.0, 22.5);868.1880341880342;0.004267641025641026;57;60;117;1
45;(22.5, 23.0);871.8615384615384;0.0038578076923076908;75;55;130;1
46;(23.0, 23.5);875.4285714285714;0.0032341928571428587;92;48;140;1
47;(23.5, 24.0);806.3758865248227;0.0035394113475177313;89;52;141;1
48;(24.0, 24.5);835.2148148148148;0.003591296296296295;88;47;135;1
49;(24.5, 25.0);836.2033898305085;0.004223254237288137;63;55;118;1
50;(25.0, 25.5);844.05;0.0034313285714285702;83;57;140;1
51;(25.5, 26.0);849.3934426229508;0.004037008196721311;68;54;122;1
52;(26.0, 26.5);823.8712121212121;0.003701113636363635;67;65;132;1
53;(26.5, 27.0);885.195652173913;0.0036093550724637675;76;62;138;1
54;(27.0, 27.5);898.5241935483871;0.0038734596774193534;68;56;124;1
55;(27.5, 28.0);795.5625;0.003598171874999998;72;56;128;1
56;(28.0, 28.5);836.2457627118644;0.004117152542372878;67;51;118;1
57;(28.5, 29.0);837.595041322314;0.004165256198347108;68;53;121;1
58;(29.0, 29.5);816.1654135338346;0.00373393984962406;74;59;133;1
59;(29.5, 30.0);887.1290322580645;0.004013758064516129;68;56;124;1
60;(30.0, 30.5);917.2434782608696;0.00435633913043478;59;56;115;1
61;(30.5, 31.0);872.4242424242424;0.003595371212121212;80;52;132;1
62;(31.0, 31.5);886.7259259259259;0.0036780074074074056;71;64;135;1
63;(31.5, 32.0);853.4173913043478;0.0042015043478260865;65;50;115;1
64;(32.0, 32.5);894.3865546218487;0.004188268907563025;68;51;119;1
65;(32.5, 33.0);820.3140495867768;0.0035162561983471054;71;50;121;1
66;(33.0, 33.5);779.6974789915967;0.004243495798319326;74;45;119;1
67;(33.5, 34.0);827.5652173913044;0.004337417391304345;67;48;115;1
68;(34.0, 34.5);926.4351145038167;0.0038256335877862595;74;57;131;1
69;(34.5, 35.0);890.3211009174312;0.0043861284403669725;58;51;109;1
70;(35.0, 35.5);896.3228346456693;0.0038337244094488166;74;53;127;1
71;(35.5, 36.0);938.8925619834711;0.0041078760330578515;68;53;121;1
72;(36.0, 36.5);950.5;0.004357149122807015;63;51;114;1
73;(36.5, 37.0);965.6666666666666;0.0034017517730496436;78;63;141;1
74;(37.0, 37.5);986.4765625;0.003911828124999997;70;58;128;1
75;(37.5, 38.0);980.3178294573644;0.0036949844961240287;67;62;129;1
76;(38.0, 38.5);991.9015151515151;0.0037089015151515145;76;56;132;1
77;(38.5, 39.0);1012.0420168067227;0.004084504201680672;61;58;119;1
78;(39.0, 39.5);1026.3543307086613;0.003912992125984252;72;55;127;1
79;(39.5, 40.0);1006.1653543307086;0.003904771653543308;71;56;127;1
80;(40.0, 40.5);990.8515625;0.003939179687499999;71;57;128;1
81;(40.5, 41.0);911.2481203007519;0.003526203007518797;72;61;133;1
82;(41.0, 41.5);1038.78125;0.0038676250000000013;72;56;128;1
83;(41.5, 42.0);1005.937984496124;0.0038410620155038774;68;61;129;1
84;(42.0, 42.5);1003.8;0.004029279999999999;67;58;125;1
85;(42.5, 43.0);1024.7874015748032;0.003651748031496061;72;55;127;1
86;(43.0, 43.5);1020.9609375;0.003939210937499998;65;63;128;1
87;(43.5, 44.0);1035.857142857143;0.0038892301587301575;69;57;126;1
88;(44.0, 44.5);949.3093525179856;0.0034881510791366895;75;64;139;1
89;(44.5, 45.0);1042.1463414634147;0.003931341463414634;67;56;123;1
90;(45.0, 45.5);1025.9126984126983;0.0039350238095238075;66;60;126;1
91;(45.5, 46.0);1014.4921875;0.003808968749999998;71;57;128;1
92;(46.0, 46.5);1012.48;0.004013824000000003;65;60;125;1
93;(46.5, 47.0);1008.0;0.00393890243902439;66;57;123;1
94;(47.0, 47.5);1026.4057971014493;0.0036358333333333342;75;63;138;1
95;(47.5, 48.0);976.5851851851852;0.0036360518518518507;74;61;135;1
96;(48.0, 48.5);925.3779527559055;0.003933370078740159;67;60;127;1
97;(48.5, 49.0);1015.2426470588235;0.00334610294117647;75;61;136;1
98;(49.0, 49.5);1006.560975609756;0.0040416016260162585;63;60;123;1
99;(49.5, 50.0);1009.6910569105692;0.004054341463414633;67;56;123;1
100;(50.0, 50.5);1029.0916030534352;0.0036638549618320604;72;59;131;1
101;(50.5, 51.0);990.9842519685039;0.0039159370078740135;69;58;127;1
102;(51.0, 51.5);1058.1351351351352;0.004344396396396394;59;52;111;1
103;(51.5, 52.0);974.8251748251748;0.0034220629370629364;77;66;143;1
104;(52.0, 52.5);1009.7851239669421;0.00407690909090909;63;58;121;1
105;(52.5, 53.0);1000.2260869565217;0.0041872347826086955;60;55;115;1
106;(53.0, 53.5);1009.5859375;0.0038200234374999994;66;62;128;1
107;(53.5, 54.0);988.763358778626;0.003769534351145035;68;63;131;1
108;(54.0, 54.5);998.7213114754098;0.0038894918032786885;62;60;122;1
109;(54.5, 55.0);1036.0381679389313;0.0038820229007633608;71;60;131;1
110;(55.0, 55.5);961.9124087591241;0.0035327883211678807;74;63;137;1
111;(55.5, 56.0);953.9685039370079;0.0038803543307086618;68;59;127;1
112;(56.0, 56.5);1029.9022556390978;0.003724714285714286;75;58;133;1
113;(56.5, 57.0);1025.3983050847457;0.004240694915254237;62;56;118;1
114;(57.0, 57.5);993.2113821138212;0.00403970731707317;63;60;123;1
115;(57.5, 58.0);1003.4924242424242;0.0035699848484848484;73;59;132;1
116;(58.0, 58.5);1035.452380952381;0.004044999999999998;67;59;126;1
117;(58.5, 59.0);1009.991452991453;0.004279863247863247;58;59;117;1
118;(59.0, 59.5);968.6402877697842;0.0034566330935251795;78;61;139;1
119;(59.5, 60.0);1004.7557251908397;0.0038358473282442745;71;60;131;1
120;(60.0, 60.5);1071.090909090909;0.004080933884297519;64;57;121;1
121;(60.5, 61.0);993.4666666666667;0.004112774999999998;57;63;120;0
122;(61.0, 61.5);1036.6439393939395;0.00357665909090909;73;59;132;0
123;(61.5, 62.0);1040.388429752066;0.004035016528925619;65;56;121;0
124;(62.0, 62.5);1015.219696969697;0.003831946969696967;73;59;132;0
125;(62.5, 63.0);973.7075471698113;0.00457120754716981;44;62;106;0
126;(63.0, 63.5);960.1592356687898;0.003150891719745223;93;64;157;0
127;(63.5, 64.0);1007.0;0.0036963759398496213;75;58;133;0
128;(64.0, 64.5);1018.5241935483871;0.0038862177419354826;65;59;124;0
129;(64.5, 65.0);968.6640625;0.0038833359375;68;60;128;0
130;(65.0, 65.5);993.9848484848485;0.003629174242424241;73;59;132;0
131;(65.5, 66.0);990.921875;0.003913890624999998;71;57;128;0
132;(66.0, 66.5);1001.5378151260504;0.004147058823529412;65;54;119;0
133;(66.5, 67.0);901.8356164383562;0.0033032328767123274;79;67;146;0
134;(67.0, 67.5);918.3559322033898;0.004283305084745764;70;48;118;0
135;(67.5, 68.0);989.0088495575221;0.004255035398230087;60;53;113;0
136;(68.0, 68.5);936.7786885245902;0.003954319672131147;69;53;122;0
137;(68.5, 69.0);966.8333333333334;0.004248833333333331;65;49;114;0
138;(69.0, 69.5);931.188679245283;0.004924830188679242;63;43;106;0
139;(69.5, 70.0);966.7227722772277;0.004859960396039602;68;33;101;0
140;(70.0, 70.5);915.8632478632478;0.004043769230769233;68;49;117;0
141;(70.5, 71.0);864.1467889908257;0.00459875229357798;67;42;109;0
142;(71.0, 71.5);904.3962264150944;0.004680650943396225;74;32;106;0
143;(71.5, 72.0);987.7894736842105;0.005241357894736841;71;24;95;0
144;(72.0, 72.5);933.7215189873418;0.006100683544303798;51;28;79;0
145;(72.5, 73.0);974.9509803921569;0.004721127450980391;75;27;102;0
146;(73.0, 73.5);991.8804347826087;0.005144510869565219;64;28;92;0
147;(73.5, 74.0);979.4772727272727;0.005385159090909092;65;23;88;0
148;(74.0, 74.5);873.875;0.004809817307692307;73;31;104;0
149;(74.5, 75.0);989.9550561797753;0.005449101123595506;65;24;89;0
150;(75.0, 75.5);983.2631578947369;0.005759749999999999;56;20;76;0
151;(75.5, 76.0);994.56;0.004787389999999999;73;27;100;0
152;(76.0, 76.5);963.0119047619048;0.005834571428571427;62;22;84;0
153;(76.5, 77.0);921.2439024390244;0.005514768292682927;56;26;82;0
154;(77.0, 77.5);979.1037735849056;0.004800028301886794;77;29;106;0
155;(77.5, 78.0);936.6808510638298;0.004747627659574469;67;27;94;0
156;(78.0, 78.5);893.395061728395;0.005257222222222222;57;24;81;0
157;(78.5, 79.0);980.7788461538462;0.005224903846153845;80;24;104;0
158;(79.0, 79.5);958.6413043478261;0.005481608695652171;64;28;92;0
159;(79.5, 80.0);932.202380952381;0.005834488095238092;57;27;84;0
160;(80.0, 80.5);974.5869565217391;0.005386641304347825;66;26;92;0
161;(80.5, 81.0);1007.989247311828;0.005396333333333333;68;25;93;0
162;(81.0, 81.5);980.0138888888889;0.0062034444444444455;51;21;72;0
163;(81.5, 82.0);887.1574074074074;0.004622296296296295;75;33;108;0
164;(82.0, 82.5);952.625;0.004593614583333333;68;28;96;0
165;(82.5, 83.0);1079.5;0.004753017241379311;62;54;116;0
166;(83.0, 83.5);1084.1278195488721;0.003506218045112782;79;54;133;0
167;(83.5, 84.0);915.0;0.0030171948051948044;68;86;154;0
168;(84.0, 84.5);960.5073529411765;0.0034583676470588223;56;80;136;0
169;(84.5, 85.0);1018.3076923076923;0.003208884615384614;76;80;156;0
170;(85.0, 85.5);937.8839285714286;0.0043069999999999975;32;80;112;0
171;(85.5, 86.0);965.2857142857143;0.003332605442176869;64;83;147;0
172;(86.0, 86.5);1011.9344262295082;0.0025628743169398907;99;84;183;0
173;(86.5, 87.0);982.0227272727273;0.0036380454545454515;52;80;132;0
174;(87.0, 87.5);946.7923076923076;0.00352586923076923;49;81;130;0
175;(87.5, 88.0);925.9119496855346;0.0031493836477987404;77;82;159;0
176;(88.0, 88.5);895.0479452054794;0.003245794520547947;63;83;146;0
177;(88.5, 89.0);931.07299270073;0.003550649635036495;59;78;137;0
178;(89.0, 89.5);855.7098765432099;0.0030033333333333335;75;87;162;0
179;(89.5, 90.0);920.3661971830986;0.0033602816901408443;64;78;142;0
180;(90.0, 90.5);937.7028985507246;0.0036898550724637647;59;79;138;0
181;(90.5, 91.0);904.8815789473684;0.0031926842105263146;71;81;152;0
182;(91.0, 91.5);925.8661971830986;0.0034962676056338026;63;79;142;0
183;(91.5, 92.0);924.6301369863014;0.0033021369863013694;64;82;146;0
184;(92.0, 92.5);933.3884892086331;0.0035521223021582715;63;76;139;0
185;(92.5, 93.0);876.6183206106871;0.0035423129770992346;48;83;131;0
186;(93.0, 93.5);903.4285714285714;0.0030291677018633527;79;82;161;0
187;(93.5, 94.0);923.1409395973154;0.003254161073825501;68;81;149;0
188;(94.0, 94.5);931.5675675675676;0.0033765067567567545;63;85;148;0
189;(94.5, 95.0);938.4198473282443;0.0036978549618320597;48;83;131;0
190;(95.0, 95.5);916.4244186046511;0.0028953139534883708;83;89;172;0
191;(95.5, 96.0);931.431506849315;0.003296691780821917;63;83;146;0
192;(96.0, 96.5);927.8716216216217;0.003403905405405404;62;86;148;0
193;(96.5, 97.0);882.6144578313254;0.002872993975903612;75;91;166;0
194;(97.0, 97.5);945.2986111111111;0.0035077430555555547;60;84;144;0
195;(97.5, 98.0);945.020979020979;0.0034403496503496484;61;82;143;0
196;(98.0, 98.5);940.5324675324675;0.0030073506493506486;67;87;154;0
197;(98.5, 99.0);945.3877551020408;0.0034336462585033986;67;80;147;0
198;(99.0, 99.5);940.3661971830986;0.0033763239436619707;59;83;142;0
199;(99.5, 100.0);955.86;0.0033525066666666658;68;82;150;0
200;(100.0, 100.5);924.4342105263158;0.0030920328947368404;67;85;152;0
201;(100.5, 101.0);925.6760563380282;0.003556028169014083;57;85;142;0
202;(101.0, 101.5);956.7651006711409;0.0032101476510067103;69;80;149;0
203;(101.5, 102.0);954.9324324324324;0.003398405405405404;66;82;148;0
204;(102.0, 102.5);956.2877697841726;0.0035466906474820132;58;81;139;0
205;(102.5, 103.0);932.25;0.0032444671052631567;68;84;152;0
206;(103.0, 103.5);926.5;0.003962008196721311;39;83;122;0
207;(103.5, 104.0);934.516393442623;0.0036857540983606554;60;62;122;0
208;(104.0, 104.5);754.5882352941177;0.004788705882352939;73;29;102;0
209;(104.5, 105.0);834.3875;0.006116887499999996;60;20;80;0
210;(105.0, 105.5);844.2105263157895;0.0042593596491228075;85;29;114;0
211;(105.5, 106.0);805.1978021978022;0.00542423076923077;72;19;91;0
212;(106.0, 106.5);867.7831325301205;0.005900722891566265;67;16;83;0
213;(106.5, 107.0);883.2368421052631;0.006537842105263155;60;16;76;0
214;(107.0, 107.5);884.9113924050633;0.006187354430379746;64;15;79;0
215;(107.5, 108.0);814.0344827586207;0.00539567816091954;69;18;87;0
216;(108.0, 108.5);771.8255813953489;0.005720267441860467;65;21;86;0
217;(108.5, 109.0);863.4494382022472;0.004889707865168539;71;18;89;0
218;(109.0, 109.5);827.5357142857143;0.0058455595238095254;65;19;84;0
219;(109.5, 110.0);852.6538461538462;0.0051914102564102555;61;17;78;0
220;(110.0, 110.5);872.7272727272727;0.005349136363636362;70;18;88;0
221;(110.5, 111.0);862.4941176470588;0.005370999999999997;65;20;85;0
222;(111.0, 111.5);850.6056338028169;0.006635732394366196;56;15;71;0
223;(111.5, 112.0);779.8076923076923;0.0046715384615384605;77;27;104;0
224;(112.0, 112.5);853.4137931034483;0.005688816091954023;68;19;87;0
225;(112.5, 113.0);820.4235294117647;0.00495215294117647;62;23;85;0
226;(113.0, 113.5);850.4943820224719;0.0056830898876404495;68;21;89;0
227;(113.5, 114.0);826.4318181818181;0.005545704545454543;65;23;88;0
228;(114.0, 114.5);869.4133333333333;0.005101039999999999;61;14;75;0
229;(114.5, 115.0);852.6860465116279;0.005742499999999998;69;17;86;0
230;(115.0, 115.5);798.2391304347826;0.004894347826086957;65;27;92;0
231;(115.5, 116.0);793.8333333333334;0.005134447916666667;70;26;96;0
232;(116.0, 116.5);849.2558139534884;0.0058193023255813945;66;20;86;0
233;(116.5, 117.0);855.5060240963855;0.005757807228915663;62;21;83;0
234;(117.0, 117.5);839.8202247191011;0.0054107303370786505;66;23;89;0
235;(117.5, 118.0);848.8313253012049;0.006047542168674698;62;21;83;0
236;(118.0, 118.5);836.6941176470589;0.005154023529411767;65;20;85;0
237;(118.5, 119.0);852.6976744186046;0.005858151162790698;64;22;86;0
238;(119.0, 119.5);769.4897959183673;0.004950224489795917;73;25;98;0
239;(119.5, 120.0);845.3625;0.005921374999999998;61;19;80;0
240;(120.0, 120.5);836.2588235294118;0.0055234588235294115;64;21;85;0
241;(120.5, 121.0);827.2371134020618;0.005481917525773198;69;28;97;0
242;(121.0, 121.5);820.3070175438596;0.004175833333333333;63;51;114;1
243;(121.5, 122.0);809.0322580645161;0.005234655913978493;66;27;93;1
244;(122.0, 122.5);848.2105263157895;0.005205210526315788;68;27;95;1
245;(122.5, 123.0);798.990099009901;0.004656762376237624;66;35;101;1
246;(123.0, 123.5);906.3382352941177;0.003603727941176469;66;70;136;1
247;(123.5, 124.0);956.07299270073;0.0036598321167883195;70;67;137;1
248;(124.0, 124.5);968.4685314685315;0.003291524475524473;69;74;143;1
249;(124.5, 125.0);957.0723684210526;0.0033106776315789464;70;82;152;1
250;(125.0, 125.5);964.203947368421;0.0032297302631578957;71;81;152;1
251;(125.5, 126.0);935.0340136054422;0.003397115646258503;61;86;147;1
252;(126.0, 126.5);955.1392405063291;0.0030735759493670874;75;83;158;1
253;(126.5, 127.0);924.7018633540373;0.003000248447204968;73;88;161;1
254;(127.0, 127.5);962.5342465753424;0.0033748219178082167;62;84;146;1
255;(127.5, 128.0);975.1543209876543;0.003102932098765429;78;84;162;1
256;(128.0, 128.5);945.3181818181819;0.003173214285714284;64;90;154;1
257;(128.5, 129.0);1003.5436241610738;0.0033053624161073804;65;84;149;1
258;(129.0, 129.5);1052.879746835443;0.0031371202531645555;76;82;158;1
259;(129.5, 130.0);1074.0223880597016;0.003736089552238804;52;82;134;1
260;(130.0, 130.5);1059.168;0.003938799999999998;47;78;125;1
261;(130.5, 131.0);1012.2592592592592;0.0035030666666666654;52;83;135;1
262;(131.0, 131.5);1049.0;0.003574437956204377;59;78;137;1
263;(131.5, 132.0);1087.2478632478633;0.004034290598290598;60;57;117;1
264;(132.0, 132.5);1146.211009174312;0.004558944954128439;59;50;109;1
265;(132.5, 133.0);1087.8015873015872;0.003924214285714285;75;51;126;1
266;(133.0, 133.5);1039.7142857142858;0.004043361344537814;66;53;119;1
267;(133.5, 134.0);1084.1339285714287;0.004361321428571427;61;51;112;1
268;(134.0, 134.5);1000.5615384615385;0.0037098692307692303;73;57;130;1
269;(134.5, 135.0);1056.3125;0.0042833660714285725;64;48;112;1
270;(135.0, 135.5);1070.142857142857;0.004001330357142857;67;45;112;1
271;(135.5, 136.0);1071.1929824561403;0.0041040614035087715;69;45;114;1
272;(136.0, 136.5);1070.3398058252428;0.004806533980582523;61;42;103;1
273;(136.5, 137.0);1003.5964912280701;0.0041097192982456135;70;44;114;1
274;(137.0, 137.5);901.6041666666666;0.0034388263888888897;100;44;144;1
275;(137.5, 138.0);870.7266666666667;0.0030925333333333333;107;43;150;1
276;(138.0, 138.5);874.2096774193549;0.003914274193548386;76;48;124;1
277;(138.5, 139.0);931.5940594059406;0.004745702970297028;58;43;101;1
278;(139.0, 139.5);938.6981132075472;0.004722226415094339;63;43;106;1
279;(139.5, 140.0);929.0648148148148;0.004460851851851852;66;42;108;1
280;(140.0, 140.5);882.2336448598131;0.004728532710280373;63;44;107;1
281;(140.5, 141.0);924.52;0.0047528399999999995;58;42;100;1
282;(141.0, 141.5);792.9207920792079;0.005035217821782176;66;35;101;1
283;(141.5, 142.0);761.53;0.00449564;63;37;100;1
284;(142.0, 142.5);969.4636363636364;0.004620063636363636;67;43;110;1
285;(142.5, 143.0);953.7129629629629;0.004588046296296295;64;44;108;1
286;(143.0, 143.5);935.5631067961165;0.0047998349514563115;60;43;103;1
287;(143.5, 144.0);927.4095238095238;0.004419990476190476;58;47;105;1
288;(144.0, 144.5);953.7596153846154;0.004771096153846153;66;38;104;1
289;(144.5, 145.0);932.8448275862069;0.004125879310344829;71;45;116;1
290;(145.0, 145.5);857.3235294117648;0.004574666666666666;61;41;102;1
291;(145.5, 146.0);837.2952380952381;0.004727390476190475;62;43;105;1
292;(146.0, 146.5);920.5242718446602;0.004607407766990291;62;41;103;1
293;(146.5, 147.0);852.7307692307693;0.004895490384615384;61;43;104;1
294;(147.0, 147.5);933.9207920792079;0.004847019801980198;60;41;101;1
295;(147.5, 148.0);952.7238095238096;0.004785619047619046;64;41;105;1
296;(148.0, 148.5);861.9893617021277;0.005045659574468083;59;35;94;1
297;(148.5, 149.0);875.7676767676768;0.004972565656565657;58;41;99;1
298;(149.0, 149.5);808.5904761904762;0.004364733333333333;62;43;105;1
299;(149.5, 150.0);932.9811320754717;0.004947103773584905;70;36;106;1
300;(150.0, 150.5);939.4636363636364;0.004406518181818181;60;50;110;1
301;(150.5, 151.0);870.0347826086957;0.0043273391304347805;65;50;115;1
302;(151.0, 151.5);859.4324324324324;0.004320027027027027;58;53;111;1
303;(151.5, 152.0);915.5428571428571;0.004550514285714286;57;48;105;1
304;(152.0, 152.5);887.2148760330579;0.004030264462809916;69;52;121;1
305;(152.5, 153.0);859.0330578512396;0.003959586776859503;67;54;121;1
